Time_s,Counts,Trial,Count_Change,Absolute_Change,Anomaly
5,746,decay_lab_A,-179.0,179.0,True
10,610,decay_lab_A,-136.0,136.0,True
15,524,decay_lab_A,-86.0,86.0,True
20,418,decay_lab_A,-106.0,106.0,True
25,343,decay_lab_A,-75.0,75.0,True
30,281,decay_lab_A,-62.0,62.0,True
35,228,decay_lab_A,-53.0,53.0,True
45,150,decay_lab_A,-55.0,55.0,True
5,1000,decay_lab_B,-162.0,162.0,True
10,886,decay_lab_B,-114.0,114.0,True
15,770,decay_lab_B,-116.0,116.0,True
20,673,decay_lab_B,-97.0,97.0,True
25,582,decay_lab_B,-91.0,91.0,True
30,502,decay_lab_B,-80.0,80.0,True
35,431,decay_lab_B,-71.0,71.0,True
40,381,decay_lab_B,-50.0,50.0,True
50,283,decay_lab_B,-53.0,53.0,True
65,176,decay_lab_B,-55.0,55.0,True
5,1244,decay_lab_C,-151.0,151.0,True
10,1114,decay_lab_C,-130.0,130.0,True
15,1008,decay_lab_C,-106.0,106.0,True
20,895,decay_lab_C,-113.0,113.0,True
25,810,decay_lab_C,-85.0,85.0,True
30,742,decay_lab_C,-68.0,68.0,True
35,651,decay_lab_C,-91.0,91.0,True
40,592,decay_lab_C,-59.0,59.0,True
45,521,decay_lab_C,-71.0,71.0,True
55,411,decay_lab_C,-72.0,72.0,True
65,341,decay_lab_C,-48.0,48.0,True
75,263,decay_lab_C,-46.0,46.0,True
